DATE,APU0000703211,APU0000703113,APU0000703425,APU0000703613,APU0000706211,APU0000FF1101,APU0000706212,APU0000706111
2020-12-01,.,5.715,.,8.980,.,3.293,1.543,1.621
2021-01-01,.,5.705,.,9.148,.,3.260,1.600,1.595
2021-02-01,.,5.611,.,9.079,.,3.239,1.553,1.583
2021-03-01,.,5.780,.,9.134,.,3.291,1.569,1.543
2021-04-01,.,5.973,.,9.344,.,3.406,1.579,1.515
2021-05-01,.,5.952,.,9.892,.,3.371,1.593,1.486
2021-06-01,.,6.016,.,10.780,.,3.353,1.611,1.474
2021-07-01,.,6.081,.,10.538,.,3.500,1.615,1.435
2021-08-01,.,6.179,.,10.599,.,3.536,1.706,1.472
2021-09-01,.,6.146,.,11.010,.,3.517,1.723,1.504
2021-10-01,.,6.371,.,11.654,.,3.589,1.709,1.523
2021-11-01,.,6.270,.,11.508,.,3.618,1.733,1.583
2021-12-01,.,6.315,.,11.055,.,3.725,1.729,1.606
2022-01-01,.,6.519,.,10.826,.,3.726,1.731,1.622
2022-02-01,.,6.465,.,10.584,.,3.815,1.797,1.632
2022-03-01,.,6.476,.,10.658,.,3.870,1.834,1.724
2022-04-01,.,6.479,.,10.656,.,4.096,1.886,1.794
2022-05-01,.,6.546,.,10.447,.,4.310,1.861,1.824
2022-06-01,.,6.492,.,10.721,.,4.568,1.882,1.826
2022-07-01,.,6.580,.,10.570,.,4.608,1.835,1.880
2022-08-01,.,6.512,.,10.312,.,4.706,1.993,1.879
2022-09-01,.,6.624,.,10.543,.,4.746,1.975,1.891
2022-10-01,.,6.680,.,10.496,.,4.670,2.013,1.863
2022-11-01,.,6.227,.,10.268,.,4.420,2.024,1.843
2022-12-01,.,6.386,.,10.169,.,4.348,1.945,1.830
2023-01-01,.,6.393,.,10.313,.,4.315,1.869,1.855
2023-02-01,.,6.427,.,10.286,.,4.365,1.843,1.894
2023-03-01,.,6.354,.,10.284,.,4.324,1.858,1.868
2023-04-01,.,6.579,.,10.607,.,4.405,1.935,1.873
2023-05-01,.,6.697,.,10.753,.,4.236,1.919,1.920
2023-06-01,.,6.681,.,11.164,.,4.193,1.998,1.953
2023-07-01,.,6.851,.,11.507,.,4.141,2.025,1.891
2023-08-01,.,6.947,.,11.432,.,4.179,2.031,1.958
2023-09-01,.,6.884,.,11.626,.,4.229,1.899,1.901
2023-10-01,.,6.991,.,11.697,.,4.222,1.917,1.926
2023-11-01,.,6.731,.,11.533,.,4.060,1.851,1.976
2023-12-01,.,6.674,.,11.691,.,4.082,1.856,1.955
2024-01-01,.,6.778,.,11.637,.,4.086,1.825,1.987
2024-02-01,.,6.651,.,11.716,.,4.105,1.752,1.951
