,RecipeId,new_ingredients
281,2306.0,chicken
282,2306.0,soy sauce
283,2306.0,long grain rice
284,2306.0,chicken broth
285,2306.0,onion
286,2306.0,green pepper
287,2306.0,celery
288,2306.0,eggs
289,2306.0,lettuce
290,2306.0,Chinese cabbage
291,2309.0,mayonnaise
292,2309.0,dry mustard
293,2309.0,sesame seeds
294,2309.0,chicken
295,2309.0,turkey
296,2566.0,water
297,2566.0,chicken
298,2607.0,chicken
299,2607.0,salt
300,2607.0,ginger
301,2607.0,onions
302,2607.0,Chinese cabbage
303,2607.0,savoy cabbage
304,2651.0,chicken
305,2651.0,chicken parts
306,2651.0,water
307,2651.0,carrots
308,2651.0,onions
309,2651.0,celery
310,2651.0,chicken bouillon cubes
311,2651.0,salt
312,2759.0,chicken
313,2759.0,dried ancho chiles
314,2759.0,water
315,2759.0,onions
316,2759.0,green pepper
317,2759.0,carrots
318,2759.0,chicken broth
319,2759.0,water
320,2759.0,peanut butter
321,2759.0,salt
322,2759.0,cinnamon
323,2759.0,dried whole thyme
324,2759.0,clove
325,2759.0,rice
326,2759.0,tortilla
327,3021.0,celery
328,3021.0,onion
329,3021.0,butter
330,3021.0,margarine
331,3021.0,flour
332,3021.0,chicken broth
333,3021.0,chicken
334,3021.0,English peas
335,3021.0,pimiento
336,3021.0,mushrooms
337,3021.0,msg
338,3021.0,salt
339,3021.0,pepper
340,3083.0,chicken
341,3083.0,ground beef
342,3083.0,onion
343,3083.0,green bell peppers
344,3083.0,red bell peppers
345,3083.0,green chili
346,3083.0,soft taco-size flour tortillas
347,3158.0,milk
348,3158.0,chicken
349,3158.0,pimientos
350,3158.0,whole mushrooms
351,3158.0,salt
352,3158.0,pepper
353,3164.0,chicken
354,3164.0,cayenne pepper
355,3164.0,cumin
356,3164.0,black pepper
357,3164.0,salt
358,3164.0,onions
359,3164.0,garlic
360,3164.0,bay leaves
361,3164.0,fresh figs
362,3164.0,"lemon, juice and zest of"
363,3164.0,flat leaf parsley
364,3296.0,corn tortillas
365,3296.0,turkey
366,3296.0,chicken
367,3296.0,butter
368,3296.0,margarine
369,3296.0,onion
370,3296.0,green chilies
371,3296.0,monterey jack cheese
372,3296.0,cheddar cheese
373,3434.0,chicken
374,3434.0,green onions
375,3434.0,light soy sauce
376,3434.0,salt
377,3606.0,chicken
378,3606.0,salt
379,3606.0,five-spice powder
380,3606.0,water
381,3606.0,cornstarch
382,3606.0,light soy sauce
383,3606.0,Chinese wine
384,3606.0,sherry wine
385,3606.0,black pepper
386,3606.0,garlic cloves
387,3606.0,green ginger
388,3606.0,scallion
389,3701.0,chicken
390,3701.0,prepared mustard
391,3701.0,beer
392,3701.0,muenster cheese
393,3701.0,caraway seed
394,3701.0,garlic powder
395,3701.0,salt
396,3701.0,pepper
397,3734.0,butter
398,3734.0,chicken
399,3734.0,flour
400,3734.0,salt
401,3734.0,paprika
402,3734.0,pepper
403,3781.0,chicken
404,3781.0,pearl barley
405,3781.0,frozen broccoli
406,3781.0,walnuts
407,3781.0,golden raisins
408,3781.0,sour cream
409,3781.0,curry powder
410,3781.0,onion powder
411,3781.0,garlic powder
412,3828.0,chicken
413,3828.0,curry powder
414,3828.0,pineapple rings
415,3828.0,banana
416,3828.0,orange
417,3842.0,chicken
418,3842.0,flour
419,3842.0,salt
420,3842.0,pepper
421,3842.0,butter
422,3842.0,shortening
423,4165.0,onion
424,4165.0,chicken
425,4165.0,tomato paste
426,4165.0,mushrooms
427,4165.0,salt
428,4165.0,garlic clove
429,4165.0,oregano
430,4165.0,celery seed
431,4165.0,bay leaf
432,4165.0,water
433,4168.0,bacon
434,4168.0,long-grain rice
435,4168.0,chicken broth
436,4168.0,chicken
437,4168.0,celery
438,4168.0,carrot
439,4168.0,bay leaf
440,4168.0,fresh parsley
441,4177.0,light olive oil
442,4177.0,wine vinegar
443,4177.0,Dijon mustard
444,4177.0,garlic
445,4177.0,garlic powder
446,4177.0,mushrooms
447,4177.0,broccoli floret
448,4177.0,snow peas
449,4177.0,frozen snow peas
450,4177.0,cherry tomatoes
451,4177.0,red bell pepper
452,4177.0,chicken
453,4293.0,dry lentils
454,4293.0,pearl barley
455,4293.0,alphabet pasta
456,4293.0,dried celery flakes
457,4293.0,dried parsley flakes
458,4293.0,chicken broth
459,4293.0,pepper
460,4293.0,chicken
461,4416.0,flour
462,4416.0,butter
463,4416.0,chicken
464,4416.0,lemon juice
465,4416.0,dried tarragon
466,4561.0,bibb lettuce
467,4561.0,chicken
468,4561.0,fresh bean sprout
469,4561.0,mayonnaise
470,4561.0,green onion
471,4561.0,sesame seeds
472,4561.0,soy sauce
473,4561.0,pepper
474,4561.0,garlic powder
475,4686.0,chicken
476,4686.0,onion
477,4686.0,pepper
478,4686.0,water
479,4750.0,tomatoes and green chilies
480,4750.0,corn
481,4750.0,stewed tomatoes
482,4750.0,chicken
483,4750.0,onion
484,4750.0,tortilla chips
485,4750.0,cheddar cheese
486,4750.0,Tabasco sauce
487,4917.0,frozen hash brown potatoes
488,4917.0,milk
489,4917.0,sour cream
490,4917.0,butter
491,4917.0,onion
492,4917.0,green pepper
493,4917.0,cheddar cheese
494,4917.0,chicken
495,4917.0,turkey
496,4941.0,whole wheat flour
497,4941.0,black pepper
498,4941.0,seasoning salt
499,4941.0,garlic powder
500,4941.0,chicken
501,5146.0,chicken
502,5146.0,mushrooms
503,5146.0,sour cream
504,5146.0,vermouth
505,5146.0,dry white wine
506,5146.0,onions
507,5146.0,garlic clove
508,5146.0,pepper
509,5146.0,paprika
510,5146.0,flour
511,5211.0,commercial low-sodium chicken broth
512,5211.0,cucumbers
513,5211.0,zucchini
514,5211.0,fresh mushrooms
515,5211.0,lettuce
516,5211.0,cabbage
517,5211.0,tomatoes
518,5211.0,chicken
519,5480.0,chicken
520,5480.0,yucca root
521,5480.0,plantains
522,5480.0,green onion
523,5480.0,carrots
524,5480.0,corn
525,5480.0,cilantro
526,5480.0,panamanian cilantro
527,5480.0,water
528,5480.0,chicken broth
529,6428.0,chicken
530,6428.0,white wine
531,6428.0,fresh mushrooms
532,6428.0,garlic
533,7205.0,chicken
534,7205.0,oregano
535,7205.0,thyme
536,7205.0,parmesan cheese
537,7205.0,bell pepper
538,7205.0,parsley flakes
539,7205.0,butter
540,7205.0,salt
541,7208.0,unflavored gelatin
542,7208.0,chicken broth
543,7208.0,lemon juice
544,7208.0,thyme
545,7208.0,mayonnaise
546,7208.0,celery
547,7208.0,chicken
548,7208.0,canned peas
549,7208.0,pecans
550,7208.0,eggs
551,7208.0,green grapes
552,7680.0,chicken
553,7680.0,garlic
554,7680.0,onion
555,7680.0,salt
556,7680.0,lemongrass
557,7680.0,chile
558,7680.0,fish sauce
559,7680.0,granulated sugar
560,7680.0,water
561,7712.0,butter
562,7712.0,onion
563,7712.0,sweet pepper
564,7712.0,garlic
565,7712.0,all-purpose flour
566,7712.0,salt
567,7712.0,pepper
568,7712.0,chicken
569,7712.0,plum tomato
570,7712.0,curry powder
571,7712.0,dried shredded coconut
572,7712.0,sultana raisin
573,7712.0,parsley
574,7718.0,all-purpose flour
575,7718.0,non-fat powdered milk
576,7718.0,skim milk
577,7718.0,salt
578,7718.0,pepper
579,7718.0,dried leaf marjoram
580,7718.0,dried leaf thyme
581,7718.0,celery
582,7718.0,mushroom
583,7718.0,chicken broth
584,7718.0,chicken broth
585,7718.0,rice
586,7718.0,chicken
587,7718.0,fresh parsley
588,7845.0,lettuce
589,7845.0,spinach
590,7845.0,radish
591,7845.0,chicken
592,7845.0,celery
593,7845.0,cheddar cheese
594,7845.0,mayonnaise
595,7845.0,Worcestershire sauce
596,7845.0,dry mustard
597,7845.0,green onions
598,7849.0,pasta shells
599,7849.0,mayonnaise
600,7849.0,lemon juice
601,7849.0,parsley
602,7849.0,dried basil
603,7849.0,chicken
604,7849.0,artichokes
605,7849.0,Tabasco sauce
606,7922.0,chicken
607,7922.0,broccoli florets
